1764362298.710183,1
1764362298.812380,17
1764362298.915058,42
1764362299.016991,78
1764362299.120235,99
1764362299.223038,99
1764362299.325706,98
1764362299.428406,99
1764362299.530818,97
1764362299.632497,100
1764362299.736361,99
1764362299.838185,100
1764362299.942050,99
1764362300.045138,100
1764362300.147829,100
1764362300.250148,99
1764362300.352171,99
1764362300.454106,98
1764362300.555904,100
1764362300.657784,86
1764362300.759515,70
1764362300.861057,69
1764362300.962857,68
1764362301.066598,65
1764362301.169533,63
1764362301.271701,60
1764362301.373760,62
1764362301.477418,60
1764362301.580493,61
1764362301.682583,60
1764362301.785356,60
1764362301.887659,61
1764362301.989696,62
1764362302.091772,61
1764362302.193817,60
1764362302.296816,61
1764362302.398997,61
1764362302.500916,62
1764362302.603263,63
1764362302.705908,63
1764362302.807820,63
1764362302.909655,64
1764362303.011453,63
1764362303.113388,63
1764362303.215391,64
1764362303.319607,62
1764362303.426177,63
1764362303.528285,64
1764362303.630107,64
1764362303.732713,64
1764362303.839394,65
1764362303.941203,65
1764362304.044788,65
1764362304.146785,66
1764362304.248590,65
1764362304.350204,65
1764362304.452235,67
1764362304.554042,69
1764362304.655648,68
1764362304.757485,68
1764362304.859979,69
1764362304.961600,69
1764362305.063291,69
1764362305.164791,68
1764362305.266723,70
1764362305.368561,70
1764362305.470670,62
1764362305.572125,59
1764362305.674777,60
1764362305.777061,60
1764362305.880271,61
1764362305.982752,61
1764362306.084744,62
1764362306.186876,62
1764362306.288621,62
1764362306.390296,62
1764362306.492763,64
1764362306.594401,63
1764362306.695848,63
1764362306.797462,64
1764362306.899259,63
1764362307.001495,64
1764362307.107047,64
1764362307.212683,64
1764362307.314573,65
1764362307.416146,65
1764362307.517631,65
1764362307.622737,66
1764362307.724511,67
1764362307.826637,66
1764362307.928589,67
1764362308.030477,67
1764362308.132211,67
1764362308.233978,68
1764362308.336815,69
1764362308.438831,69
1764362308.540728,69
1764362308.642406,70
1764362308.744607,70
1764362308.847230,71
1764362308.952699,70
1764362309.054735,72
1764362309.156462,71
1764362309.258175,72
1764362309.360090,73
1764362309.461946,73
1764362309.563719,73
1764362309.666448,74
1764362309.768172,74
1764362309.870674,74
1764362309.973593,74
1764362310.075545,74
1764362310.177438,74
1764362310.279305,74
1764362310.381068,76
1764362310.482824,76
1764362310.585467,75
1764362310.687246,75
1764362310.789231,77
1764362310.892254,77
1764362310.993916,77
1764362311.096296,77
1764362311.198114,77
1764362311.300582,79
1764362311.402910,78
1764362311.504731,80
1764362311.606845,80
1764362311.709008,80
1764362311.810951,81
1764362311.912957,80
1764362312.014759,82
1764362312.119853,81
1764362312.224717,80
1764362312.327346,81
1764362312.429247,81
1764362312.535383,82
1764362312.640569,82
1764362312.743629,81
1764362312.845053,82
1764362312.946662,82
1764362313.052724,82
1764362313.154440,84
1764362313.256366,83
1764362313.358370,83
1764362313.460357,83
1764362313.561901,83
1764362313.663562,84
1764362313.768044,85
1764362313.869885,85
1764362313.974257,86
1764362314.075956,86
1764362314.177663,85
1764362314.279916,86
1764362314.381707,86
1764362314.483958,86
1764362314.585887,86
1764362314.688191,86
1764362314.789731,87
1764362314.892101,88
1764362314.994020,88
1764362315.095778,88
1764362315.197372,88
1764362315.299216,88
1764362315.401426,88
1764362315.503967,88
1764362315.606643,90
1764362315.710144,90
1764362315.812392,90
1764362315.914183,90
1764362316.016013,91
1764362316.122796,91
1764362316.224758,91
1764362316.326641,90
1764362316.432819,91
1764362316.534664,92
1764362316.636243,91
1764362316.738598,91
1764362316.840263,92
1764362316.943547,93
1764362317.045214,92
1764362317.146880,95
1764362317.249067,94
1764362317.351240,96
1764362317.452875,96
1764362317.554683,96
1764362317.656301,96
1764362317.758374,95
1764362317.860131,96
1764362317.961923,96
1764362318.063773,96
1764362318.165349,96
1764362318.267407,96
1764362318.369524,96
1764362318.471426,96
1764362318.573294,96
1764362318.678884,97
1764362318.780399,97
1764362318.881859,97
1764362318.985132,98
1764362319.087682,98
1764362319.190027,97
1764362319.291600,99
1764362319.397084,98
1764362319.498726,98
1764362319.600576,99
1764362319.705043,98
1764362319.807710,99
1764362319.909274,97
1764362320.011114,97
1764362320.112780,98
1764362320.214626,97
1764362320.316244,96
1764362320.419171,68
1764362320.521919,50
1764362320.623729,50
