1764362194.647051,1
1764362194.748750,18
1764362194.851092,19
1764362194.952505,19
1764362195.055128,20
1764362195.158129,20
1764362195.259888,17
1764362195.362269,17
1764362195.464414,18
1764362195.569424,18
1764362195.672162,16
1764362195.773931,12
1764362195.876354,17
1764362195.979082,16
1764362196.082600,16
1764362196.186406,17
1764362196.290170,17
1764362196.391550,19
1764362196.493897,19
1764362196.596273,19
1764362196.698859,18
1764362196.801177,18
1764362196.904290,18
1764362197.008096,20
1764362197.113696,15
1764362197.217121,15
1764362197.323143,15
1764362197.425889,15
1764362197.527640,17
1764362197.632642,17
1764362197.735629,18
1764362197.839290,20
1764362197.940948,20
1764362198.044866,20
1764362198.148281,17
1764362198.252195,18
1764362198.355375,10
1764362198.461277,13
1764362198.567452,14
1764362198.670778,17
1764362198.774727,16
1764362198.879967,18
1764362198.986135,19
1764362199.088173,20
1764362199.190176,20
1764362199.296136,18
1764362199.402327,17
1764362199.504023,18
1764362199.610034,19
1764362199.713135,16
1764362199.819584,13
1764362199.921414,14
1764362200.023583,16
1764362200.126126,17
1764362200.228485,18
1764362200.332934,18
1764362200.436466,18
1764362200.541725,20
1764362200.647891,19
1764362200.754890,16
1764362200.857008,20
1764362200.962156,19
1764362201.064190,20
1764362201.168277,16
1764362201.273975,15
1764362201.379161,10
1764362201.481985,13
1764362201.585201,15
1764362201.687285,15
1764362201.793545,17
1764362201.896997,18
1764362201.998999,19
1764362202.103394,19
1764362202.209734,14
1764362202.315689,13
1764362202.420158,14
1764362202.526152,16
1764362202.631154,17
1764362202.737317,18
1764362202.843463,20
1764362202.947270,19
1764362203.049545,13
1764362203.155212,10
1764362203.261968,12
1764362203.364675,14
1764362203.471010,14
1764362203.576929,17
1764362203.678726,18
1764362203.782874,19
1764362203.884630,19
1764362203.986981,11
1764362204.091089,12
1764362204.193946,14
1764362204.297747,15
1764362204.403773,16
1764362204.505567,17
1764362204.611796,19
1764362204.715129,19
1764362204.819703,9
1764362204.921869,12
1764362205.023711,13
1764362205.125548,15
1764362205.227241,16
1764362205.329694,17
1764362205.431792,18
1764362205.535280,19
1764362205.637664,20
1764362205.739907,13
1764362205.842870,11
1764362205.944474,13
1764362206.048152,14
1764362206.149858,15
1764362206.255865,17
1764362206.361878,17
1764362206.464343,19
1764362206.570240,15
1764362206.676089,12
1764362206.781434,14
1764362206.885315,15
1764362206.986707,17
1764362207.092330,17
1764362207.198084,19
1764362207.304163,20
1764362207.409934,19
1764362207.514940,20
1764362207.620769,9
1764362207.722652,12
1764362207.824159,14
1764362207.925963,15
1764362208.027925,17
1764362208.133679,17
1764362208.238358,18
1764362208.344167,19
1764362208.449554,10
1764362208.554065,12
1764362208.659922,13
1764362208.762792,15
1764362208.865706,16
1764362208.971591,17
1764362209.076382,19
1764362209.182139,19
1764362209.285024,20
1764362209.390784,10
1764362209.494144,13
1764362209.599150,13
1764362209.704756,16
1764362209.807376,16
1764362209.913510,18
1764362210.015424,19
1764362210.118089,20
1764362210.220702,10
1764362210.322631,12
1764362210.424252,13
1764362210.529742,15
1764362210.635554,16
1764362210.738370,18
1764362210.842360,19
1764362210.945119,20
1764362211.048558,19
1764362211.150390,10
1764362211.255335,12
1764362211.359230,14
1764362211.462377,16
1764362211.566262,16
1764362211.670035,18
1764362211.772118,20
1764362211.878210,19
1764362211.982530,8
1764362212.084801,12
1764362212.186767,13
1764362212.288592,15
1764362212.390356,16
1764362212.493919,17
1764362212.600098,18
1764362212.703762,19
1764362212.807392,19
1764362212.912910,13
1764362213.014638,11
1764362213.116097,13
1764362213.218968,15
1764362213.321689,16
1764362213.424637,16
1764362213.527578,18
1764362213.629722,19
1764362213.732344,19
1764362213.834516,19
1764362213.938102,11
1764362214.039740,13
1764362214.142107,14
1764362214.244377,16
1764362214.346211,17
1764362214.447853,18
1764362214.549628,19
1764362214.653999,20
1764362214.759567,20
1764362214.865207,11
1764362214.966607,13
1764362215.068102,13
1764362215.170759,15
1764362215.273797,17
1764362215.379513,18
1764362215.481067,19
1764362215.587278,19
1764362215.690218,10
1764362215.795115,11
1764362215.899839,14
1764362216.005668,15
1764362216.108831,17
1764362216.210862,19
1764362216.314275,20
1764362216.417572,20
1764362216.520789,20
1764362216.626541,11
1764362216.731310,12
1764362216.837078,14
1764362216.940296,15
1764362217.043983,17
1764362217.148217,18
1764362217.251346,20
1764362217.355318,20
1764362217.456847,9
1764362217.559040,12
1764362217.661755,13
1764362217.763893,15
1764362217.869090,16
1764362217.973484,18
